Assembler	Error rate	Coverage	metric	value
metaSPAdes	0%	256	NGA50	174013
MEGAHIT_1.0.3	0%	256	#_contigs	108
MEGAHIT_1.0.3	0%	256	Genome fraction(%)	98.246
MEGAHIT_1.0.3	0%	256	NGA50	125651
MEGAHIT_1.1.2	0%	512	#_contigs	99
MEGAHIT_1.1.2	0%	512	Genome fraction(%)	98.442
MEGAHIT_1.1.2	0%	512	NGA50	125735
metaSPAdes	0%	512	#_contigs	71
metaSPAdes	0%	512	Genome fraction(%)	98.322
metaSPAdes	0%	512	NGA50	173982
MEGAHIT_1.0.3	0%	512	#_contigs	108
MEGAHIT_1.0.3	0%	512	Genome fraction(%)	98.261
MEGAHIT_1.0.3	0%	512	NGA50	125651
MEGAHIT_1.1.2	0%	32	#_contigs	99
MEGAHIT_1.1.2	0%	32	Genome fraction(%)	98.487
MEGAHIT_1.1.2	0%	32	NGA50	117769
metaSPAdes	0%	32	#_contigs	71
metaSPAdes	0%	32	Genome fraction(%)	98.298
metaSPAdes	0%	32	NGA50	175766
MEGAHIT_1.0.3	0%	32	#_contigs	110
MEGAHIT_1.0.3	0%	32	Genome fraction(%)	98.244
MEGAHIT_1.0.3	0%	32	NGA50	112430
MEGAHIT_1.1.2	0%	2	#_contigs	2143
MEGAHIT_1.1.2	0%	2	Genome fraction(%)	40.879
MEGAHIT_1.1.2	0%	2	NGA50	-
metaSPAdes	0%	2	#_contigs	2840
metaSPAdes	0%	2	Genome fraction(%)	54.985
metaSPAdes	0%	2	NGA50	565
MEGAHIT_1.0.3	0%	2	#_contigs	2153
MEGAHIT_1.0.3	0%	2	Genome fraction(%)	40.936
MEGAHIT_1.0.3	0%	2	NGA50	-
MEGAHIT_1.1.2	2%	128	#_contigs	112
MEGAHIT_1.1.2	2%	128	Genome fraction(%)	98.604
MEGAHIT_1.1.2	2%	128	NGA50	125650
metaSPAdes	2%	128	#_contigs	72
metaSPAdes	2%	128	Genome fraction(%)	98.345
metaSPAdes	2%	128	NGA50	173977
MEGAHIT_1.0.3	2%	128	#_contigs	780
MEGAHIT_1.0.3	2%	128	Genome fraction(%)	96.845
MEGAHIT_1.0.3	2%	128	NGA50	8768
MEGAHIT_1.1.2	2%	16	#_contigs	150
MEGAHIT_1.1.2	2%	16	Genome fraction(%)	98.465
MEGAHIT_1.1.2	2%	16	NGA50	55641
metaSPAdes	2%	16	#_contigs	329
metaSPAdes	2%	16	Genome fraction(%)	98.066
metaSPAdes	2%	16	NGA50	24528
MEGAHIT_1.0.3	2%	16	#_contigs	297
MEGAHIT_1.0.3	2%	16	Genome fraction(%)	98.234
MEGAHIT_1.0.3	2%	16	NGA50	28023
MEGAHIT_1.1.2	2%	64	#_contigs	103
MEGAHIT_1.1.2	2%	64	Genome fraction(%)	98.555
MEGAHIT_1.1.2	2%	64	NGA50	111999
metaSPAdes	2%	64	#_contigs	79
metaSPAdes	2%	64	Genome fraction(%)	98.341
metaSPAdes	2%	64	NGA50	133027
MEGAHIT_1.0.3	2%	64	#_contigs	166
MEGAHIT_1.0.3	2%	64	Genome fraction(%)	98.014
MEGAHIT_1.0.3	2%	64	NGA50	53801
MEGAHIT_1.1.2	2%	4	#_contigs	3095
MEGAHIT_1.1.2	2%	4	Genome fraction(%)	75.391
MEGAHIT_1.1.2	2%	4	NGA50	1007
metaSPAdes	2%	4	#_contigs	1757
metaSPAdes	2%	4	Genome fraction(%)	25.437
metaSPAdes	2%	4	NGA50	-
MEGAHIT_1.0.3	2%	4	#_contigs	3425
MEGAHIT_1.0.3	2%	4	Genome fraction(%)	68.923
MEGAHIT_1.0.3	2%	4	NGA50	769
MEGAHIT_1.1.2	2%	8	#_contigs	1041
MEGAHIT_1.1.2	2%	8	Genome fraction(%)	97.379
MEGAHIT_1.1.2	2%	8	NGA50	6673
metaSPAdes	2%	8	#_contigs	3578
metaSPAdes	2%	8	Genome fraction(%)	87.921
metaSPAdes	2%	8	NGA50	1275
MEGAHIT_1.0.3	2%	8	#_contigs	1668
MEGAHIT_1.0.3	2%	8	Genome fraction(%)	96.961
MEGAHIT_1.0.3	2%	8	NGA50	3808
MEGAHIT_1.1.2	2%	256	#_contigs	138
MEGAHIT_1.1.2	2%	256	Genome fraction(%)	98.631
MEGAHIT_1.1.2	2%	256	NGA50	117784
metaSPAdes	2%	256	#_contigs	71
metaSPAdes	2%	256	Genome fraction(%)	98.373
metaSPAdes	2%	256	NGA50	173982
MEGAHIT_1.0.3	2%	256	#_contigs	2907
MEGAHIT_1.0.3	2%	256	Genome fraction(%)	53.845
MEGAHIT_1.0.3	2%	256	NGA50	547
MEGAHIT_1.1.2	2%	512	#_contigs	341
MEGAHIT_1.1.2	2%	512	Genome fraction(%)	98.636
MEGAHIT_1.1.2	2%	512	NGA50	95621
metaSPAdes	2%	512	#_contigs	66
metaSPAdes	2%	512	Genome fraction(%)	98.334
metaSPAdes	2%	512	NGA50	175728
MEGAHIT_1.0.3	2%	512	#_contigs	550
MEGAHIT_1.0.3	2%	512	Genome fraction(%)	6.056
MEGAHIT_1.0.3	2%	512	NGA50	-
MEGAHIT_1.1.2	2%	32	#_contigs	106
MEGAHIT_1.1.2	2%	32	Genome fraction(%)	98.428
MEGAHIT_1.1.2	2%	32	NGA50	96494
metaSPAdes	2%	32	#_contigs	82
metaSPAdes	2%	32	Genome fraction(%)	98.159
metaSPAdes	2%	32	NGA50	133023
MEGAHIT_1.0.3	2%	32	#_contigs	147
MEGAHIT_1.0.3	2%	32	Genome fraction(%)	98.239
MEGAHIT_1.0.3	2%	32	NGA50	71793
MEGAHIT_1.1.2	2%	2	#_contigs	1566
MEGAHIT_1.1.2	2%	2	Genome fraction(%)	25.284
MEGAHIT_1.1.2	2%	2	NGA50	-
metaSPAdes	2%	2	#_contigs	134
metaSPAdes	2%	2	Genome fraction(%)	1.835
metaSPAdes	2%	2	NGA50	-
MEGAHIT_1.0.3	2%	2	#_contigs	1401
MEGAHIT_1.0.3	2%	2	Genome fraction(%)	20.793
MEGAHIT_1.0.3	2%	2	NGA50	-
MEGAHIT_1.1.2	5%	128	#_contigs	408
MEGAHIT_1.1.2	5%	128	Genome fraction(%)	98.678
MEGAHIT_1.1.2	5%	128	NGA50	41828
metaSPAdes	5%	128	#_contigs	145
metaSPAdes	5%	128	Genome fraction(%)	98.110
metaSPAdes	5%	128	NGA50	77801
MEGAHIT_1.0.3	5%	128	#_contigs	5856
MEGAHIT_1.0.3	5%	128	Genome fraction(%)	93.377
MEGAHIT_1.0.3	5%	128	NGA50	1071
MEGAHIT_1.1.2	5%	16	#_contigs	4306
MEGAHIT_1.1.2	5%	16	Genome fraction(%)	94.547
MEGAHIT_1.1.2	5%	16	NGA50	1388
metaSPAdes	5%	16	#_contigs	117
metaSPAdes	5%	16	Genome fraction(%)	1.778
metaSPAdes	5%	16	NGA50	-
MEGAHIT_1.0.3	5%	16	#_contigs	5556
MEGAHIT_1.0.3	5%	16	Genome fraction(%)	86.590
MEGAHIT_1.0.3	5%	16	NGA50	867
MEGAHIT_1.1.2	5%	64	#_contigs	911
MEGAHIT_1.1.2	5%	64	Genome fraction(%)	98.515
MEGAHIT_1.1.2	5%	64	NGA50	9474
metaSPAdes	5%	64	#_contigs	148
metaSPAdes	5%	64	Genome fraction(%)	98.150
metaSPAdes	5%	64	NGA50	71453
MEGAHIT_1.0.3	5%	64	#_contigs	5903
MEGAHIT_1.0.3	5%	64	Genome fraction(%)	93.383
MEGAHIT_1.0.3	5%	64	NGA50	1051
MEGAHIT_1.1.2	5%	4	#_contigs	1723
MEGAHIT_1.1.2	5%	4	Genome fraction(%)	23.107
MEGAHIT_1.1.2	5%	4	NGA50	-
metaSPAdes	5%	4	#_contigs	5
metaSPAdes	5%	4	Genome fraction(%)	0.084
metaSPAdes	5%	4	NGA50	-
MEGAHIT_1.0.3	5%	4	#_contigs	1129
MEGAHIT_1.0.3	5%	4	Genome fraction(%)	14.037
MEGAHIT_1.0.3	5%	4	NGA50	-
MEGAHIT_1.1.2	5%	8	#_contigs	4354
MEGAHIT_1.1.2	5%	8	Genome fraction(%)	65.402
MEGAHIT_1.1.2	5%	8	NGA50	639
metaSPAdes	5%	8	#_contigs	10
metaSPAdes	5%	8	Genome fraction(%)	0.281
metaSPAdes	5%	8	NGA50	-
MEGAHIT_1.0.3	5%	8	#_contigs	3595
MEGAHIT_1.0.3	5%	8	Genome fraction(%)	48.998
MEGAHIT_1.0.3	5%	8	NGA50	511
MEGAHIT_1.1.2	5%	256	#_contigs	1074
MEGAHIT_1.1.2	5%	256	Genome fraction(%)	99.212
MEGAHIT_1.1.2	5%	256	NGA50	35424
metaSPAdes	5%	256	#_contigs	126
metaSPAdes	5%	256	Genome fraction(%)	98.108
metaSPAdes	5%	256	NGA50	95452
MEGAHIT_1.0.3	5%	256	#_contigs	6182
MEGAHIT_1.0.3	5%	256	Genome fraction(%)	93.451
MEGAHIT_1.0.3	5%	256	NGA50	1169
MEGAHIT_1.1.2	5%	512	#_contigs	22679
MEGAHIT_1.1.2	5%	512	Genome fraction(%)	99.434
MEGAHIT_1.1.2	5%	512	NGA50	12352
metaSPAdes	5%	512	#_contigs	142
metaSPAdes	5%	512	Genome fraction(%)	98.132
metaSPAdes	5%	512	NGA50	97825
MEGAHIT_1.0.3	5%	512	#_contigs	8312
MEGAHIT_1.0.3	5%	512	Genome fraction(%)	89.735
MEGAHIT_1.0.3	5%	512	NGA50	927
MEGAHIT_1.1.2	5%	32	#_contigs	2356
MEGAHIT_1.1.2	5%	32	Genome fraction(%)	98.064
MEGAHIT_1.1.2	5%	32	NGA50	3179
metaSPAdes	5%	32	#_contigs	4392
metaSPAdes	5%	32	Genome fraction(%)	81.116
metaSPAdes	5%	32	NGA50	885
MEGAHIT_1.0.3	5%	32	#_contigs	5524
MEGAHIT_1.0.3	5%	32	Genome fraction(%)	93.747
MEGAHIT_1.0.3	5%	32	NGA50	1087
MEGAHIT_1.1.2	5%	2	#_contigs	341
MEGAHIT_1.1.2	5%	2	Genome fraction(%)	3.927
MEGAHIT_1.1.2	5%	2	NGA50	-
metaSPAdes	5%	2	#_contigs	25
metaSPAdes	5%	2	Genome fraction(%)	0.080
metaSPAdes	5%	2	NGA50	-
MEGAHIT_1.0.3	5%	2	#_contigs	197
MEGAHIT_1.0.3	5%	2	Genome fraction(%)	2.072
MEGAHIT_1.0.3	5%	2	NGA50	-
MEGAHIT_1.1.2	ART CAMI	128	#_contigs	112
MEGAHIT_1.1.2	ART CAMI	128	Genome fraction(%)	98.565
MEGAHIT_1.1.2	ART CAMI	128	NGA50	125735
metaSPAdes	ART CAMI	128	#_contigs	84
metaSPAdes	ART CAMI	128	Genome fraction(%)	98.360
metaSPAdes	ART CAMI	128	NGA50	133063
MEGAHIT_1.0.3	ART CAMI	128	#_contigs	382
MEGAHIT_1.0.3	ART CAMI	128	Genome fraction(%)	97.589
MEGAHIT_1.0.3	ART CAMI	128	NGA50	19068
MEGAHIT_1.1.2	ART CAMI	16	#_contigs	163
MEGAHIT_1.1.2	ART CAMI	16	Genome fraction(%)	98.435
MEGAHIT_1.1.2	ART CAMI	16	NGA50	51749
metaSPAdes	ART CAMI	16	#_contigs	89
metaSPAdes	ART CAMI	16	Genome fraction(%)	98.221
metaSPAdes	ART CAMI	16	NGA50	132662
MEGAHIT_1.0.3	ART CAMI	16	#_contigs	394
MEGAHIT_1.0.3	ART CAMI	16	Genome fraction(%)	98.297
MEGAHIT_1.0.3	ART CAMI	16	NGA50	21513
MEGAHIT_1.1.2	ART CAMI	64	#_contigs	109
MEGAHIT_1.1.2	ART CAMI	64	Genome fraction(%)	98.586
MEGAHIT_1.1.2	ART CAMI	64	NGA50	129572
metaSPAdes	ART CAMI	64	#_contigs	79
metaSPAdes	ART CAMI	64	Genome fraction(%)	98.391
metaSPAdes	ART CAMI	64	NGA50	172028
MEGAHIT_1.0.3	ART CAMI	64	#_contigs	141
MEGAHIT_1.0.3	ART CAMI	64	Genome fraction(%)	98.038
MEGAHIT_1.0.3	ART CAMI	64	NGA50	60955
MEGAHIT_1.1.2	ART CAMI	4	#_contigs	3057
MEGAHIT_1.1.2	ART CAMI	4	Genome fraction(%)	65.018
MEGAHIT_1.1.2	ART CAMI	4	NGA50	757
metaSPAdes	ART CAMI	4	#_contigs	2916
metaSPAdes	ART CAMI	4	Genome fraction(%)	81.862
metaSPAdes	ART CAMI	4	NGA50	1268
MEGAHIT_1.0.3	ART CAMI	4	#_contigs	3188
MEGAHIT_1.0.3	ART CAMI	4	Genome fraction(%)	58.161
MEGAHIT_1.0.3	ART CAMI	4	NGA50	605
MEGAHIT_1.1.2	ART CAMI	8	#_contigs	1523
MEGAHIT_1.1.2	ART CAMI	8	Genome fraction(%)	96.437
MEGAHIT_1.1.2	ART CAMI	8	NGA50	4255
metaSPAdes	ART CAMI	8	#_contigs	579
metaSPAdes	ART CAMI	8	Genome fraction(%)	97.738
metaSPAdes	ART CAMI	8	NGA50	11871
MEGAHIT_1.0.3	ART CAMI	8	#_contigs	2262
MEGAHIT_1.0.3	ART CAMI	8	Genome fraction(%)	95.399
MEGAHIT_1.0.3	ART CAMI	8	NGA50	2638
MEGAHIT_1.1.2	ART CAMI	256	#_contigs	134
MEGAHIT_1.1.2	ART CAMI	256	Genome fraction(%)	98.616
MEGAHIT_1.1.2	ART CAMI	256	NGA50	125703
metaSPAdes	ART CAMI	256	#_contigs	84
metaSPAdes	ART CAMI	256	Genome fraction(%)	98.325
metaSPAdes	ART CAMI	256	NGA50	133063
MEGAHIT_1.0.3	ART CAMI	256	#_contigs	2811
MEGAHIT_1.0.3	ART CAMI	256	Genome fraction(%)	82.323
MEGAHIT_1.0.3	ART CAMI	256	NGA50	1390
MEGAHIT_1.1.2	ART CAMI	512	#_contigs	280
MEGAHIT_1.1.2	ART CAMI	512	Genome fraction(%)	98.767
MEGAHIT_1.1.2	ART CAMI	512	NGA50	97989
metaSPAdes	ART CAMI	512	#_contigs	86
metaSPAdes	ART CAMI	512	Genome fraction(%)	98.328
metaSPAdes	ART CAMI	512	NGA50	133132
MEGAHIT_1.0.3	ART CAMI	512	#_contigs	729
MEGAHIT_1.0.3	ART CAMI	512	Genome fraction(%)	8.479
MEGAHIT_1.0.3	ART CAMI	512	NGA50	-
MEGAHIT_1.1.2	ART CAMI	32	#_contigs	108
MEGAHIT_1.1.2	ART CAMI	32	Genome fraction(%)	98.553
MEGAHIT_1.1.2	ART CAMI	32	NGA50	95665
metaSPAdes	ART CAMI	32	#_contigs	81
metaSPAdes	ART CAMI	32	Genome fraction(%)	98.304
metaSPAdes	ART CAMI	32	NGA50	133040
MEGAHIT_1.0.3	ART CAMI	32	#_contigs	141
MEGAHIT_1.0.3	ART CAMI	32	Genome fraction(%)	98.215
MEGAHIT_1.0.3	ART CAMI	32	NGA50	75638
MEGAHIT_1.1.2	ART CAMI	2	#_contigs	1253
MEGAHIT_1.1.2	ART CAMI	2	Genome fraction(%)	18.909
MEGAHIT_1.1.2	ART CAMI	2	NGA50	-
metaSPAdes	ART CAMI	2	#_contigs	2142
metaSPAdes	ART CAMI	2	Genome fraction(%)	35.366
metaSPAdes	ART CAMI	2	NGA50	-
MEGAHIT_1.0.3	ART CAMI	2	#_contigs	1011
MEGAHIT_1.0.3	ART CAMI	2	Genome fraction(%)	14.520
MEGAHIT_1.0.3	ART CAMI	2	NGA50	-
